namespace_prefix	namespace_name
odc.sci	Open Data Commons for Spinal Cord Injury
odc.tbi	Open Data Commons for Traumatic Brain Injury
odor	Odor Molecules DataBase
oid	OID Repository
oma.grp	OMA Group
oma.hog	OMA HOGs
oma.protein	OMA Protein
omia	OMIA
omid	OpenCitations Meta Identifier
omit	OMIT
opb	Ontology of Physics for Biology
opl	Ontology for Parasite Lifecycle
opm	OPM
orcid	ORCID
ordb	Olfactory Receptor Database
oridb.sacch	OriDB Saccharomyces
oridb.schizo	OriDB Schizosaccharomyces
orphanet	Orphanet
orphanet.ordo	Orphanet Rare Disease Ontology
orthodb	OrthoDB
oryzabase.gene	Oryzabase Gene
oryzabase.mutant	Oryzabase Mutant
oryzabase.reference	Oryzabase
oryzabase.stage	Oryzabase Stage
oryzabase.strain	Oryzabase Strain
otl	Oryza Tag Line
p3db.protein	P3DB Protein
p3db.site	P3DB Site
paleodb	PaleoDB
panther.family	PANTHER Family
panther.node	PANTHER Node
panther.pathway	PANTHER Pathway
panther.pthcmp	PANTHER Pathway Component
pass2	PASS2
pathwaycommons	Pathway Commons
pato	PATO
pazar	Pazar Transcription Factor
pdb-ccd	Chemical Component Dictionary
ped	Protein Ensemble Database
ped.ensemble	Protein Ensemble Database ensemble
peptideatlas	PeptideAtlas
peptideatlas.dataset	PeptideAtlas Dataset
peroxibase	Peroxibase
pfam	Pfam
pgs	Polygenic Score Catalog
pgx	Progenetix
phosphopoint.kinase	PhosphoPoint Kinase
phosphopoint.protein	PhosphoPoint Phosphoprotein
phosphosite.protein	PhosphoSite Protein
phosphosite.residue	PhosphoSite Residue
phylomedb	PhylomeDB
phytozome.locus	Phytozome Locus
pid.pathway	NCI Pathway Interaction Database: Pathway
pigqtldb	Animal Genome Pig QTL
pina	PINA
piroplasma	PiroplasmaDB
pirsf	PIRSF
plant_reactome	Plant Reactome
planttfdb	Plant Transcription Factor Database
plasmodb	PlasmoDB
pmap.cutdb	CutDB
pmap.substratedb	SubstrateDB
pmc	PMC International
pmdb	Protein Model Database
pmp	PMP
pmr	Physiome Model Repository
pmr.workspace	Physiome Model Repository workspace
po	Plant Ontology
pocketome	Pocketome
polbase	PolBase
pombase	PomBase
pr	Protein Ontology
pride	PRIDE
pride.project	PRIDE Project
prints	PRINTS
probonto	ProbOnto
prodom	ProDom
proglyc	ProGlycProt
prosite	PROSITE
protclustdb	ProtClustDB
proteomicsdb.peptide	ProteomicsDB Peptide
proteomicsdb.protein	ProteomicsDB Protein
protonet.cluster	ProtoNet Cluster
protonet.proteincard	ProtoNet ProteinCard
ps	Pennsieve
pscdb	PSCDB
pseudomonas	Pseudomonas Genome Database
psipar	Protein Affinity Reagents
pw	Pathway Ontology
px	ProteomeXchange
pypi	PyPI
qtldb	Animal Genome QTL
raid	Research Activity Identifier
rapdb.locus	RAP-DB Locus
rapdb.transcript	RAP-DB Transcript
